Datetime,Solar_Radiation_W_m2,Wind_Speed_10m_m_s,Temperature_2m_C,Load_kW,Solar_Power_kW,Wind_Power_kW,Net_Power_kW,Total_Generated_Power_kW,Battery_Energy_kWh,Battery_SoC_%,Unmet_Load_kWh,Dumped_Energy_kWh
2023-12-06 07:00:00,23.33,2.66,1.49,5.0,0.23329999999999998,0.08069544910000001,-4.6860045509,0.3139954491,4.0,20.0,4.6860045509,0.0
2023-12-06 08:00:00,103.0,2.77,4.77,5.0,1.03,0.09112623773749999,-3.8788737622625,1.1211262377375,4.0,20.0,3.8788737622625,0.0
2023-12-06 09:00:00,177.43,2.98,6.38,0.0,1.7743000000000002,0.11346265069999999,1.8877626507000003,1.8877626507000003,5.8877626507,29.4388132535,0.0,0.0
2023-12-06 10:00:00,227.18,2.77,7.27,0.0,2.2718000000000003,0.09112623773749999,2.3629262377375,2.3629262377375,8.2506888884375,41.2534444421875,0.0,0.0
2023-12-06 11:00:00,246.4,2.86,7.81,0.0,2.464,0.10030030009999998,2.5643003000999998,2.5643003000999998,10.8149891885375,54.07494594268749,0.0,0.0
2023-12-06 12:00:00,225.62,3.13,7.63,0.0,2.2561999999999998,0.13147317338749998,2.3876731733875,2.3876731733875,13.202662361924999,66.013311809625,0.0,0.0
2023-12-06 13:00:00,176.8,3.23,7.76,0.0,1.768,0.1444813197625,1.9124813197625001,1.9124813197625001,15.115143681687499,75.5757184084375,0.0,0.0
2023-12-06 14:00:00,120.38,3.09,8.23,0.0,1.2038,0.12649680933749996,1.3302968093374998,1.3302968093374998,16.445440491025,82.22720245512501,0.0,0.0
2023-12-06 15:00:00,53.35,1.91,7.99,0.0,0.5335,0.029874746912499993,0.5633747469125,0.5633747469125,17.0088152379375,85.0440761896875,0.0,0.0
2023-12-06 16:00:00,5.45,2.03,6.48,0.0,0.0545,0.03586676826249998,0.09036676826249998,0.09036676826249998,17.0991820062,85.495910031,0.0,0.0
2023-12-06 17:00:00,0.0,2.31,5.7,0.0,0.0,0.052849401412500004,0.052849401412500004,0.052849401412500004,17.1520314076125,85.7601570380625,0.0,0.0
2023-12-06 18:00:00,0.0,2.49,5.05,5.0,0.0,0.06619149258750001,-4.9338085074125,0.06619149258750001,12.2182229002,61.091114501,0.0,0.0
2023-12-06 19:00:00,0.0,2.7,4.7,5.0,0.0,0.08439086250000001,-4.9156091375,0.08439086250000001,7.302613762700001,36.513068813500006,0.0,0.0
2023-12-06 20:00:00,0.0,3.29,5.05,5.0,0.0,0.1526834015875,-4.8473165984125,0.1526834015875,4.0,20.0,1.5447028357124992,0.0
2023-12-06 21:00:00,0.0,4.54,5.5,0.0,0.0,0.4012099469,0.4012099469,0.4012099469,4.4012099469,22.0060497345,0.0,0.0
2023-12-06 22:00:00,0.0,4.68,5.45,0.0,0.0,0.43948260719999993,0.43948260719999993,0.43948260719999993,4.840692554099999,24.203462770499996,0.0,0.0
2023-12-06 23:00:00,0.0,4.67,5.54,0.0,0.0,0.4366714263624999,0.4366714263624999,0.4366714263624999,5.277363980462499,26.386819902312496,0.0,0.0
2023-12-07 00:00:00,0.0,4.13,5.51,0.0,0.0,0.3020329246375,0.3020329246375,0.3020329246375,5.579396905099999,27.896984525499995,0.0,0.0
2023-12-07 01:00:00,0.0,4.3,5.69,0.0,0.0,0.3408862624999999,0.3408862624999999,0.3408862624999999,5.920283167599999,29.601415837999994,0.0,0.0
2023-12-07 02:00:00,0.0,3.82,5.42,0.0,0.0,0.23899797529999994,0.23899797529999994,0.23899797529999994,6.159281142899999,30.796405714499997,0.0,0.0
2023-12-07 03:00:00,0.0,3.43,4.87,0.0,0.0,0.1730160900125,0.1730160900125,0.1730160900125,6.3322972329125,31.661486164562497,0.0,0.0
2023-12-07 04:00:00,0.0,3.53,4.98,0.0,0.0,0.18859416388749997,0.18859416388749997,0.18859416388749997,6.5208913968,32.604456983999995,0.0,0.0
2023-12-07 05:00:00,0.0,3.65,5.11,0.0,0.0,0.20848879843749998,0.20848879843749998,0.20848879843749998,6.7293801952375,33.646900976187496,0.0,0.0
2023-12-07 06:00:00,0.0,3.75,5.0,5.0,0.0,0.22609863281249998,-4.7739013671875,0.22609863281249998,4.0,20.0,2.0445211719500005,0.0
2023-12-07 07:00:00,13.9,4.46,5.05,5.0,0.139,0.38037214810000003,-4.4806278519,0.5193721481,4.0,20.0,4.4806278519,0.0
2023-12-07 08:00:00,67.22,5.33,5.79,5.0,0.6722,0.6492108361375,-3.6785891638625,1.3214108361374999,4.0,20.0,3.6785891638625,0.0
2023-12-07 09:00:00,122.38,6.1,7.26,0.0,1.2238,0.9731810374999997,2.1969810374999996,2.1969810374999996,6.1969810375,30.9849051875,0.0,0.0
2023-12-07 10:00:00,166.35,6.82,8.89,0.0,1.6635,1.3600574603,3.0235574603,3.0235574603,9.2205384978,46.102692489,0.0,0.0
2023-12-07 11:00:00,159.27,6.89,9.99,0.0,1.5927,1.4023673720874994,2.995067372087499,2.995067372087499,12.215605869887499,61.07802934943749,0.0,0.0
2023-12-07 12:00:00,176.12,6.82,10.45,0.0,1.7612,1.3600574603,3.1212574603,3.1212574603,15.336863330187498,76.68431665093749,0.0,0.0
2023-12-07 13:00:00,145.32,6.47,10.27,0.0,1.4531999999999998,1.1612265986124999,2.6144265986125,2.6144265986125,17.951289928799998,89.75644964399999,0.0,0.0
