Datetime,Solar_Radiation_W_m2,Wind_Speed_10m_m_s,Temperature_2m_C,Load_kW,Solar_Power_kW,Wind_Power_kW,Net_Power_kW,Total_Generated_Power_kW,Battery_Energy_kWh,Battery_SoC_%,Unmet_Load_kWh,Dumped_Energy_kWh
2023-07-03 05:00:00,98.35,2.65,17.84,0.0,1.47525,0.07978876718749998,1.5550387671875,1.5550387671875,28.77380245035,71.934506125875,0.0,0.0
2023-07-03 06:00:00,265.9,3.5,20.62,5.0,3.9884999999999997,0.18382656249999998,-0.8276734375000006,4.1723265624999994,27.94612901285,69.865322532125,0.0,0.0
2023-07-03 07:00:00,459.0,2.87,24.35,5.0,6.885,0.10135608411250001,1.9863560841124999,6.9863560841125,29.932485096962502,74.83121274240625,0.0,0.0
2023-07-03 08:00:00,641.17,3.26,27.13,5.0,9.61755,0.14854462209999994,4.766094622099999,9.766094622099999,34.6985797190625,86.74644929765624,0.0,0.0
2023-07-03 09:00:00,793.47,3.79,28.78,0.0,11.902050000000001,0.2334112384625,12.1354612384625,12.1354612384625,40.0,100.0,0.0,6.834040957525005
2023-07-03 10:00:00,903.12,4.16,30.09,0.0,13.5468,0.3086626816,13.855462681599999,13.855462681599999,40.0,100.0,0.0,13.855462681600002
2023-07-03 11:00:00,946.22,4.3,31.06,0.0,14.1933,0.3408862624999999,14.5341862625,14.5341862625,40.0,100.0,0.0,14.5341862625
2023-07-03 12:00:00,914.08,4.41,31.7,0.0,13.711200000000002,0.3677222437875,14.0789222437875,14.0789222437875,40.0,100.0,0.0,14.078922243787503
2023-07-03 13:00:00,769.97,4.58,32.02,0.0,11.549550000000002,0.41190832269999994,11.961458322700002,11.961458322700002,40.0,100.0,0.0,11.961458322700004
2023-07-03 14:00:00,669.8,4.83,31.94,0.0,10.047,0.48310944176250004,10.5301094417625,10.5301094417625,40.0,100.0,0.0,10.530109441762498
2023-07-03 15:00:00,513.53,5.1,31.41,0.0,7.7029499999999995,0.5687411624999998,8.2716911625,8.2716911625,40.0,100.0,0.0,8.271691162499998
2023-07-03 16:00:00,348.92,5.22,30.36,0.0,5.2338000000000005,0.6098396282999998,5.8436396283,5.8436396283,40.0,100.0,0.0,5.8436396282999965
2023-07-03 17:00:00,190.35,4.66,28.85,0.0,2.85525,0.4338722591,3.2891222591,3.2891222591,40.0,100.0,0.0,3.2891222590999973
2023-07-03 18:00:00,65.57,2.96,25.81,5.0,0.9835499999999999,0.11119346559999999,-3.9052565344000003,1.0947434656,36.0947434656,90.236858664,0.0,0.0
2023-07-03 19:00:00,3.35,3.16,22.32,5.0,0.05025,0.1352899016,-4.8144600984,0.1855399016,31.2802833672,78.200708418,0.0,0.0
2023-07-03 20:00:00,0.0,3.49,20.83,5.0,0.0,0.18225540383750002,-4.8177445961625,0.18225540383750002,26.4625387710375,66.15634692759376,0.0,0.0
2023-07-03 21:00:00,0.0,3.38,19.7,0.0,0.0,0.1655595487,0.1655595487,0.1655595487,26.6280983197375,66.57024579934375,0.0,0.0
2023-07-03 22:00:00,0.0,2.57,18.67,0.0,0.0,0.07277856748749997,0.07277856748749997,0.07277856748749997,26.700876887225,66.7521922180625,0.0,0.0
2023-07-03 23:00:00,0.0,2.07,17.89,0.0,0.0,0.038029023112499984,0.038029023112499984,0.038029023112499984,26.7389059103375,66.84726477584375,0.0,0.0
2023-07-04 00:00:00,0.0,1.89,17.25,0.0,0.0,0.028946065837499993,0.028946065837499993,0.028946065837499993,26.767851976175,66.9196299404375,0.0,0.0
2023-07-04 01:00:00,0.0,1.79,16.67,0.0,0.0,0.024590265962500003,0.024590265962500003,0.024590265962500003,26.7924422421375,66.98110560534374,0.0,0.0
2023-07-04 02:00:00,0.0,1.63,16.12,0.0,0.0,0.018568077762499993,0.018568077762499993,0.018568077762499993,26.8110103199,67.02752579975,0.0,0.0
2023-07-04 03:00:00,0.0,1.42,15.8,0.0,0.0,0.012276347299999995,0.012276347299999995,0.012276347299999995,26.823286667199998,67.05821666799999,0.0,0.0
2023-07-04 04:00:00,0.0,1.16,15.73,0.0,0.0,0.006692341599999998,0.006692341599999998,0.006692341599999998,26.8299790088,67.07494752199999,0.0,0.0
2023-07-04 05:00:00,88.93,0.95,16.88,0.0,1.33395,0.003675995312499999,1.3376259953125,1.3376259953125,28.1676050041125,70.41901251028125,0.0,0.0
2023-07-04 06:00:00,249.35,0.81,18.88,5.0,3.74025,0.0022785532875,-1.2574714467125,3.7425285532875,26.9101335574,67.2753338935,0.0,0.0
2023-07-04 07:00:00,440.4,1.25,22.67,5.0,6.606,0.0083740234375,1.6143740234374997,6.6143740234375,28.524507580837497,71.31126895209374,0.0,0.0
2023-07-04 08:00:00,622.65,1.38,25.97,5.0,9.33975,0.011267858699999996,4.351017858700001,9.3510178587,32.8755254395375,82.18881359884375,0.0,0.0
2023-07-04 09:00:00,776.4,1.24,27.6,0.0,11.646,0.008174650399999999,11.654174650400002,11.654174650400002,40.0,100.0,0.0,4.529700089937499
2023-07-04 10:00:00,886.47,1.1,28.86,0.0,13.29705,0.005706662500000001,13.3027566625,13.3027566625,40.0,100.0,0.0,13.302756662500002
